"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","战斗竞技场在等着您！","對戰鬥技場等你來戰！"
"TID_COME_BACK_NOTIFICATION_LARGE","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","战斗竞技场在等着您！","對戰鬥技場等你來戰！"
"TID_NOT_ENOUGH_RESOURCES_TITLE","Not enough gold!","Pas assez d'or !","Nicht genug Gold!","Oro insuficiente","Oro insufficiente!","Niet genoeg goud!","Ikke nok gull!","Yeterli altın yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","لا يوجد ذهب كاف!","Ouro insuficiente!","金币不够！","黃金不足！"
"TID_NOT_ENOUGH_RESOURCES_TEXT","Buy missing gold?","Acheter l'or manquant ?","Fehlendes Gold kaufen?","¿Quieres comprar más?","Vuoi acquistare l'oro che ti manca?","Het ontbrekende goud kopen?","Vil du kjøpe det gullet du mangler?","Eksik altın satın alınsın mı?","足りないゴールドを購入しますか？","부족한 골드를 구입하시겠습니까?","Докупить золото?","هل تريد شراء الذهب الناقص؟","Comprar o que falta de ouro?","要购买缺少的金币吗？","購買缺少的黃金？"
"TID_NOT_ENOUGH_RESOURCES_TEXT_ROUNDED_UP","Buy <GOLD> gold?","Acheter <GOLD> pièces d'or ?","<GOLD> Gold kaufen?","¿Quieres comprar <GOLD> de oro?","Acquistare <GOLD> oro?","<GOLD> goud kopen?","Vil du kjøpe <GOLD> gull?","<GOLD> altın satın almak ister misin?","<GOLD>ゴールドを購入しますか？","<GOLD> 골드를 구입하시겠습니까?","Купить <GOLD> золота?","هل تريد شراء <GOLD> من الذهب؟","Comprar <GOLD> unidades de ouro?","购买<GOLD>金币？","購買 <GOLD> 黃金？"
"TID_NOT_ENOUGH_RESOURCES_TEXT_MATCHMAKING","Buy <GOLD> gold and enter battle?","Acheter <GOLD> pièces d'or et engager le combat ?","<GOLD> Gold kaufen und kämpfen?","¿Quieres comprar <GOLD> de oro y participar en la batalla?","Acquistare <GOLD> oro ed entrare in battaglia?","<GOLD> goud kopen en gevecht starten?","Vil du kjøpe <GOLD> gull og gå i kamp?","<GOLD> altın satın alıp savaşa girmek ister misin?","<GOLD>ゴールドを購入してバトルに参加しますか？","<GOLD> 골드를 구입하고 전투를 시작하시겠습니까?","Купить <GOLD> золота и начать бой?","هل تريد شراء <GOLD> من الذهب ودخول المعركة؟","Comprar <GOLD> unidades de ouro e entrar na batalha?","购买<GOLD>金币并开始对战？","購買 <GOLD> 黃金並加入戰鬥？"
"TID_ENTER_NAME_TITLE","What is your name?","Quel est votre nom ?","Wie lautet dein Name?","¿Cómo te llamas?","Qual è il tuo nome?","Hoe heet je?","Hva heter du?","Adın ne?","あなたの名前は？","이름이 뭔가요?","Как тебя зовут?","ما اسمك؟","Qual é o seu nome?","取个名字吧","你的遊戲名稱是？"
"TID_OPEN_CHEST_BUTTON","Tap to\nunlock","Touchez\npour ouvrir","Zum Öffnen\nantippen","Toca para\ndesbloqueo","Tocca per\nsbloccare","Tik om\nte openen","Trykk for\nå låse opp","Kilidi\naç","タップで\nアンロック","탭해서\n열기","Открой\nкасанием","انقر\nللفتح","Toque para\nabrir","轻按以\n解锁","點擊\n以解鎖"
"TID_CLAIM_CHEST_BUTTON","Open","Ouvrir","Öffnen","Abrir","Apri","Open","Åpne","Aç","開く","열기","Открыть","فتح","Aberto","打开","打開"
"TID_NOT_ENOUGH_DIAMONDS","Not enough gems!","Pas assez de gemmes !","Nicht genug Juwelen!","Gemas insuficientes","Gemme insufficienti!","Niet genoeg edelstenen!","Ikke nok juveler!","Yeterli taş yok!","エメラルドが足りません","보석이 부족합니다!","Нужно больше кристаллов!","لا توجد جواهر كافية!","Gemas insuficientes!","宝石不足！","寶石不足！"
"TID_NAME_FAILED","Sorry, try another name!","Désolé, essayez un autre nom !","Tut uns leid - probiere einen anderen Namen!","Prueba con otro nombre.","Spiacenti, prova un altro nome!","Sorry, probeer een andere naam!","Beklager, prøv et annet navn!","Üzgünüz, başka bir ad dene!","恐れ入りますが、他の名前でおねがいします。","죄송합니다, 다른 이름을 입력해 보세요!","Извини, попробуй лучше другое имя!","عذرًا، جرّب اسمًا آخر!","Por favor, tente outro nome.","抱歉，请输入其他名称！","抱歉，想另一個名字吧！"
"TID_SPELL_ITEM_LEVEL","Level <NUMBER>","Niveau <NUMBER>","Level <NUMBER>","Nivel <NUMBER>","Livello <NUMBER>","Level <NUMBER>","Nivå <NUMBER>","<NUMBER>. Seviye","レベル<NUMBER>","레벨 <NUMBER>","Уровень <NUMBER>","المستوى <NUMBER>","Nível <NUMBER>","<NUMBER>级","等級 <NUMBER>"
"TID_SPELL_ITEM_LEVEL_SHORT","lvl.<NUMBER>","nv <NUMBER>","Lvl. <NUMBER>","nvl. <NUMBER>","liv. <NUMBER>","lvl <NUMBER>","nivå <NUMBER>","<NUMBER>. sv.","LV <NUMBER>","lvl. <NUMBER>","ур.<NUMBER>","المستوى <NUMBER>","nvl.<NUMBER>","<NUMBER>级","等級 <NUMBER>"
"TID_MATCHMAKING_TIME","Estimated time <TIME>","Délai estimé <TIME>","Geschätzte Dauer: <TIME>","Tiempo estimado: <TIME>","Tempo stimato: <TIME>","Geschatte tijd: <TIME>","Anslått tid: <TIME>","Tahmini süre: <TIME>","予想待ち時間<TIME>","예상 시간: <TIME>","Осталось примерно: <TIME>","الوقت المقدر <TIME>","Tempo estimado <TIME>","预计时间：<TIME>","預計時間：<TIME>"
"TID_SPELL_INFO_FIREBALL","Annnnnd... Fireball. Incinerates a small area, dealing high damage. Reduced damage to Crown Towers.","Et bim, une boule de feu. Incinère une petite zone, infligeant des dégâts élevés. Dégâts réduits sur les tours couronnées.","Uuuund ... Feuerball. Entzündet einen kleinen Bereich, verursacht großen Schaden. Reduzierter Schaden gegen Kronentürme.","¡Bum! La bola de fuego incinera un área pequeña, en la que causa un gran daño. Es menos efectiva contra las torres de coronas.","E ora... la Sfera infuocata. Incenerisce un'area di piccole dimensioni, infliggendo danni elevati. Danno ridotto alle torri della corona.","En een... vuurbal. Verschroeit een klein gebied, maar veroorzaakt veel schade. Kroontorens lopen minder schade op.","Oooooog ... ildkule! Svir av et lite område og påfører stor skade. Mindre skade på kronetårn.","Veee... Alev Topu. Küçük bir alanı yakıp kül ederek yüksek hasar verir. Taç Kulelerine daha az hasar verir.","おなじみのファイアボール。小範囲を焼きつくし、敵兵士に大きなダメージを与えますが、クラウンタワーに対してはダメージが減少します。","뜨겁고도 뜨거운... 불덩어리입니다. 일정 영역을 불태워 높은 피해를 주지만 크라운 타워에는 비교적 적은 피해를 줍니다.","Оооооо... Огненный шар. Испепеляет небольшую зону, нанося большой урон. Повреждение королевской башни снижено.","و... كرة نارية. تحرق منطقة صغيرة، وتسبب ضررًا كبيرًا. قليلة الضرر لأبراج التاج.","Eeeee... bola de fogo! Incinera uma pequena área, causando grande dano. Dano reduzido às Torres da Coroa.","火球来啦。它能焚烧小片区域并造成大量伤害，对皇家塔的伤害有所降低。","隆重呈現...火球。火球可以灼燒小範圍區域並造成高傷害，但對皇冠之塔的傷害較低。"
"TID_SPELL_INFO_ARROWS","Arrows pepper a large area, damaging everyone hit. Reduced damage to Crown Towers.","Arrose de flèches une large zone, infligeant des dégâts à tous les combattants touchés. Dégâts réduits sur les tours couronnées.","Pfeile spicken einen großen Bereich und fügen allen Getroffenen Schaden zu. Reduzierter Schaden gegen Kronentürme.","Las flechas afectan a una gran área e infligen daño a todos los objetivos alcanzados. Son menos efectivas contra las torres de coronas.","Le frecce piovono su un'area estesa, danneggiando ciò che colpiscono. Danno ridotto alle torri della corona.","Pijlen bestrijken een groot gebied en elke treffer veroorzaakt schade. Kroontorens lopen minder schade op.","Piler regner ned over et stort område og skader alle som blir truffet. Mindre skade på kronetårn.","Oklar geniş bir alana etki ederek vurduğu herkese hasar verir. Taç Kulelerine daha az hasar verir.","矢の雨を降らせ、広範囲の敵全員にダメージを与えることができます。ただしクラウンタワーに対してはダメージが減少します。","화살은 넓은 지역을 공격해 맞은 대상 모두에게 피해를 줍니다. 크라운 타워에는 비교적 적은 피해를 줍니다.","Стрелы покрывают большую зону, нанося урон всем. Повреждение королевской башни снижено.","وابل من السهام يمطر منطقة ضخمة، ويسبب الضرر لكل من يصيبه. قليل الضرر لأبراج التاج.","As flechas chovem em uma área extensa, danificando todos os atingidos. Dano reduzido às Torres da Coroa.","万箭齐发可以覆盖大片区域并对其中所有目标造成伤害。对皇家塔的伤害有所降低。","「萬箭齊發」可以掃射大範圍區域，對所有擊中的目標造成傷害，對皇冠之塔的傷害較低。"
"TID_SPELL_INFO_ARCHERS","A pair of unarmored ranged attackers. They´ll help you with ground and air unit attacks, but you´re on your own with coloring your hair.","Un duo d'attaquantes à distance dépourvues d'armure. Elles vous aideront contre les attaques terrestres et aériennes, mais ne comptez pas sur elles pour vous faire une couleur.","Zwei ungepanzerte Fernangreifer. Sie helfen dir mit Angriffen auf Boden- und Lufteinheiten - aber dein Haar musst du dir schon selbst färben.","Un par de luchadoras a distancia que te ayudarán a librarte de unidades tanto aéreas como terrestres. Eso sí, lo del color de pelo ya es cosa tuya.","Una coppia di attaccanti a distanza privi di armatura. Ti aiuteranno con attacchi terra-aria, ma a tingerti i capelli ti dovrai arrangiare.","Een paar afstandsaanvallers zonder pantser. Ze helpen je bij grond- en luchtaanvallen, maar je haar verven moet je toch echt zelf doen.","Et par avstandsangripere uten rustning. De hjelper deg med bakke- og luftangrep, men håret ditt må du farge selv.","Bir çift zırhsız menzilli saldırgan. Sana kara ve hava saldırılarında yardımcı olurlar ama saçının boyasına kadar yardımcı olmalarını da bekleme.","2人組の弓使いです。ヨロイは着ていませんが、地上の敵にも空中の敵にも遠隔攻撃ができます。ただし、髪を染める手伝いはお断りだそうです。","갑옷을 입지 않은 한 쌍의 원거리 공격수입니다. 지상과 공중 유닛을 공격할 수 있지만 머리 손질까지 기대하진 마세요.","Пара незащищенных воинов дальнего боя. Девушки помогут в атаке воздушные и наземные войска, но покрасить тебе волосы их лучше не проси.","زوج من مهاجمي المدى البعيد غير المدرعين. سيساعدانك في هجمات الوحدات الأرضية والجوية، لكنك ستنجز وحدك تلوين شعرك.","Um par de atacantes à distância sem armadura que ajudará você no ataques a unidades terrestres e aéreas, mas colorir seu cabelo é por sua própria conta.","两个无护甲保护的远程进攻战士。她们可以帮你攻击地面和空中目标，但安全的事你就得自求多福了。","這是一對無護甲的遠程攻擊手，他們能用地面和空中單位的攻擊協助你。但如果要染髮，那請你自理吧。"
"TID_SPELL_INFO_SPEAR_GOBLINS","Three unarmored ranged attackers. Who the heck taught these guys to throw spears!?! Who thought that was a good idea?!","Trois attaquants à distance dépourvus d'armure. Qui a bien pu leur apprendre à manier la lance ? Qui a pu penser que c'était une bonne idée ?!","Drei ungepanzerte Fernangreifer. Wer zum Kuckuck hat diesen Typen das Speerwerfen beigebracht?! Und wer hielt es für eine gute Idee?!","Tres luchadores a distancia que atacan a pecho descubierto. ¿Quién narices decidió enseñar a estos tipos a arrojar lanzas? A ver, ¿en qué cabeza cabe que eso sea una buena idea?","Tre attaccanti dalla distanza privi di armatura. Chi accidenti ha insegnato a questi tizi a scagliare lance?! Chi può aver pensato che fosse una buona idea?!","Drie afstandsaanvallers zonder pantser. Wie heeft deze gasten geleerd met een speer te gooien!? Wie vond dat een goed idee!?","Tre avstandsangripere uten rustning. Hvem i all verden lærte disse karene å kaste spyd? Verden har sett bedre ideer!","Üç zırhsız menzilli saldırgan. Bu adamlara mızrak fırlatmayı kim öğretmiş acaba!?! Bunun iyi bir fikir olduğunu kim düşünmüş olabilir ki?!","ヨロイはなくとも、槍を使わせたら厄介なゴブリンの3人組です。まったくもう、だれがゴブリンに槍投げを教えたんでしょうね！？","갑옷을 입지 않은 세 명의 원거리 공격수입니다. 도대체 누가 창을 던지라고 가르친 걸까요? 대체 어떤 멍청이가 이걸 좋은 생각이라고 내놓은 걸까요?!","Три незащищенных воина дальнего боя. Кто вообще учил этих ребят метать копья?! Кто сказал, что это хорошая идея?!","ثلاثة من مهاجمي المدى البعيد غير المدرعين. من علّم هؤلاء الرجال إلقاء الرماح؟! من كان يعتقد أن تلك كانت فكرة جيدة؟!","Três atacantes à distância sem armadura. Quem teve a ideia de ensinar os caras a atirar lanças!?! Quem achou que isso daria certo?!","三个无护甲保护的远程进攻战士。到底是谁教会了他们扔长矛！？是谁想出的这个烂点子？！","這是一組三人無護甲的遠程攻擊手。到底是誰教他們怎麼投擲長矛的啊？是誰認為這是一個好主意？"
"TID_SPELL_INFO_KNIGHT","A tough melee fighter. The Barbarian´s handsome, cultured cousin. Rumor has it that he was knighted based on the sheer awesomeness of his mustache alone.","Un spécialiste du combat rapproché, cousin charmant et cultivé du barbare. On raconte que la magnificence de sa moustache a suffit à elle seule à justifier son adoubement.","Ein zäher Nahkämpfer und der hübsche, kultivierte Cousin des Barbaren. Gerüchten zufolge erhielt er seinen Ritterschlag allein deswegen, weil er so einen spitzenmäßigen Schnurrbart hat.","Un aguerrido luchador cuerpo a cuerpo, mucho más apuesto y culto que su primo lejano, el bárbaro. Se rumorea que el único motivo por el que fue nombrado caballero es la genialidad de su bigote.","Un tenace combattente da mischia. Il cugino acculturato e affascinante del barbaro. Si dice che sia stato fatto cavaliere per via del suo spettacolare baffo da sparviero.","Een taaie mêleestrijder. Het verfijnde, knappe neefje van de barbarenkoning. Naar het schijnt dankt hij zijn ridderschap enkel en alleen aan zijn ontzagwekkende snor.","En steinhard nærkampekspert. Barbarens kjekke og dannede fetter. Ifølge ryktene var den sensasjonelt kule barten nok til at han ble han slått til ridder.","Zorlu bir yakın dövüş savaşçısı. Barbarın yakışıklı, kültürlü kuzeni. Söylenenlere göre yalnızca bıyıklarının muhteşemliği yüzünden şövalye ilan edilmiş.","タフで接近戦が得意な戦士です。皆様おなじみのバーバリアンが、イケメンになって文明化された感じですね。ウワサによると、ナイトになれたのはヒゲが立派だったからだとか...","터프한 근접 전사입니다. 바바리안의 사촌으로 얼굴도 잘생겼고 좀 더 배우신 분이죠. 오로지 멋진 콧수염 한 가지 덕에 기사 작위를 받았다는 소문이 있습니다.","Крутой солдат ближнего боя. Милый, окультуренный родственник варвара. Ходят слухи, что его посвятили в рыцари за красивые усы.","مقاتل مشاغب قوي. القريب الوسيم المثقف للبربري. يُقال إنه تم تنصيبه فارسًا بناء على روعة شاربه فقط.","Um lutador resistente no corpo a corpo. O primo bonito e culto do bárbaro. Dizem que foi nomeado cavaleiro só por causa do bigode impressionante.","一位强悍的近战勇士。他是野蛮人的远亲，但是更英俊更有教养。传言说，他仅仅因为自己的漂亮胡须就得到了骑士头衔。","這是一位強悍的肉搏戰士，也是野蠻人俊俏而且文化水準更高的表親。據說，他因為留了帥勁的鬍子而受封為「騎士」。"
"TID_SPELL_INFO_BARBARIANS","A horde of melee attackers with mean mustaches and even meaner tempers.","Une horde d'attaquants de mêlée pourvus d'une moustache d'enfer et d'un tempérament tout aussi infernal.","Ein Haufen Nahkämpfer mit krassen Schnurrbärten und noch krasserem Temperament.","Una horda de atacantes cuerpo a cuerpo con un perverso bigote y un carácter aún peor.","Un'orda di attaccanti da mischia, con baffi incattiviti e temperamenti ancora più incattiviti.","Een groep mêlee-aanvallers met nijdige snorren en een nog nijdiger humeur.","En horde av nærkampeksperter med tøffe barter og enda tøffere temperament.","Sert bıyıklı ve öfkeli bir yapıya sahip yakın dövüş savaşçısı sürüsü.","接近戦が得意な戦士の一団です。やばんな口ひげと、それよりもやばんな怒りっぽさで有名です。","고약하게 생긴 수염을 달고 있으며 성격은 더 고약한 근접 공격 부대입니다.","Орда воинов ближнего боя с неухоженными усами и жутким характером.","حشد من المهاجمين المشاغبين بشوارب وحشية بل وحالات مزاجية أكثر شراسة.","Uma horda de atacantes de corpo a corpo com bigodes terríveis e um temperamento ainda pior.","一群近战进攻战士，他们胡子邋遢，脾气更是暴躁。","一群蓄著帥勁鬍子的肉搏戰士，但他們的脾氣可沒那麼帥。"
